,Name,Pos,Org,Top 100,Org Rk,Age_x,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId,avg_fastest_speed,avg_spin,K/9,IP,BB/9,Age_y,ERA,height,weight,throws
10,Daniel Espino,SP,CLE,50.0,1,20.7611111,,Sink/Tail,65 / 65,55 / 60,50 / 55,45 / 55,30 / 50,2250.0,2600.0,"['94', '97']",99.0,50,sa3011495,95.5,2425.0,13.19,23.2,4.27,—,3.802811487,"6' 2""",205,R
11,Luis Medina,MIRP,NYY,53.0,3,22.4333333,,Tail,65 / 70,,60 / 70,45 / 55,30 / 40,2500.0,2350.0,"['94', '98']",101.0,50,sa928510,96.0,2425.0,11.25,139.2,8.21,—,5.670643023,"6' 1""",175,R
12,Matt Allan,SP,NYM,56.0,4,20.4777777,,Rise,55 / 60,,55 / 70,45 / 60,30 / 45,2450.0,2600.0,"['93', '96']",97.0,50,sa3011740,94.5,2525.0,12.48,10.1,4.46,—,2.61290403,"6' 3""",210,R
13,Shane Baz,SIRP,TBR,59.0,3,22.3111111,,Rise,60 / 60,50 / 50,50 / 50,55 / 60,45 / 50,2600.0,2550.0,"['92', '97']",100.0,50,22264,94.5,2575.0,9.86,133.2,5.07,—,3.568580353,"6' 3""",190,R
14,Miguel Yajure,SP,PIT,69.0,5,23.4388888,11/22/2016,Cut/Rise,50 / 55,,50 / 50,50 / 55,50 / 60,2250.0,2600.0,"['91', '95']",97.0,50,21111,93.0,2425.0,8.38,203.1,2.3,—,2.699995103,"6' 1""",175,R
15,Deivi Garcia,SP,NYY,80.0,5,22.3888888,,Rise,50 / 50,45 / 50,60 / 60,55 / 60,50 / 55,2200.0,2700.0,"['91', '95']",97.0,50,20276,93.0,2450.0,13.13,185.1,4.42,—,3.593523947,"5' 9""",163,R
16,Jhoan Duran,SP,MIN,81.0,4,23.7527777,,Sink,60 / 60,,50 / 55,45 / 50,40 / 45,1800.0,2700.0,"['95', '99']",101.0,50,sa873347,97.0,2250.0,10.5,215.2,3.72,—,3.755795361,"6' 5""",230,R
17,Gregory Santos,MIRP,SFG,84.0,5,22.1138888,,Cut,60 / 60,60 / 70,,45 / 50,30 / 45,2450.0,2650.0,"['93', '98']",100.0,50,21894,95.5,2550.0,7.71,84.1,2.68,—,3.841894337,"6' 2""",215,R
18,Simeon Woods Richardson,SP,MIN,85.0,5,21.0333333,,Cut/Rise,50 / 55,,50 / 50,55 / 60,40 / 55,2300.0,2350.0,"['90', '94']",97.0,50,sa3008423,92.0,2325.0,11.03,124.0,2.1,—,3.483873862,"6' 3""",210,R
19,Nick Lodolo,SP,CIN,89.0,4,23.6777777,,Tail,45 / 50,,55 / 55,50 / 55,45 / 55,2250.0,2400.0,"['91', '94']",96.0,50,sa917947,92.5,2325.0,14.92,18.1,0.5,—,2.454549966,"6' 6""",205,L
